==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
  113  President           Consumer Cyclical           $100K+   any         8      88%     +22.4%      46.59
  114  all                 Communication Services      $100K+   DD<5%      73      81%     +10.9%      46.57
  115  Director            Utilities                   $250K+   DD<2%      30      93%     +13.6%      46.41
  116  CEO                 all                         $1M+     DD<5%      70      53%     +10.9%      46.28
  117  CEO                 Healthcare                  $250K+   DD<2%       7     100%     +23.8%      46.25
  118  CEO                 all                         $250K+   DD<5%     134      56%      +9.4%      46.18
  119  Director            Utilities                   $100K+   DD<2%      52      81%     +11.6%      46.01
  120  all                 Financial Services          $250K+   DD<5%     128      59%      +9.5%      45.89
  121  10% Owner           all                         $250K+   DD<2%      49      63%     +11.7%      45.72
  122  all                 Technology                  $250K+   any       144      55%      +9.2%      45.64
  123  all                 Consumer Cyclical           $250K+   DD<2%      56      66%     +11.3%      45.63
  124  CEO                 all                         $100K+   DD<5%     177      54%      +8.8%      45.48
  125  Director            all                         $5M+     DD<2%      43      84%     +12.0%      45.30
  126  CEO                 Technology                  $1M+     DD<2%       7      43%     +23.3%      45.30
  127  all                 Healthcare                  $250K+   DD<5%      91      73%     +10.0%      45.24
  128  Director            Utilities                   $250K+   DD<5%      62      87%     +10.9%      45.17
  129  all                 Communication Services      $1M+     DD<5%      51      90%     +11.4%      44.77
  130  Director            all                         $500K+   DD<5%     304      70%      +7.8%      44.54
  131  CFO                 all                         $500K+   any        31      71%     +12.9%      44.33
  132  Director            all                         $100K+   DD<5%     814      63%      +6.6%      44.32
  133  all                 Consumer Cyclical           $250K+   DD<5%      79      66%     +10.1%      44.00
  134  CEO                 Healthcare                  $500K+   DD<5%      10      70%     +19.0%      43.86
  135  all                 Financial Services          $100K+   DD<2%     126      62%      +9.0%      43.76
  136  CEO                 Consumer Cyclical           $1M+     DD<5%      10      80%     +18.9%      43.42
  137  all                 Industrials                 $1M+     DD<5%      57      58%     +10.7%      43.11
  138  all                 Consumer Cyclical           $100K+   DD<5%     115      63%      +9.1%      43.00
  139  all                 Financial Services          $100K+   DD<5%     195      58%      +8.2%      42.98
  140  all                 all                         $25M+    DD<5%      47      62%     +11.1%      42.81
  141  CEO                 Healthcare                  $250K+   DD<5%      11      73%     +17.8%      42.63
  142  Insider (other)     Technology                  $100K+   DD<2%      10      90%     +18.5%      42.53
  143  10% Owner           Industrials                 $1M+     DD<5%      15      60%     +15.7%      42.53
  144  Director            Technology                  $250K+   DD<2%      27      67%     +12.9%      42.41
  145  Director            Communication Services      $100K+   DD<5%      12      42%     +17.0%      42.36
  146  all                 all                         $1M+     DD<5%     439      65%      +6.9%      42.28
  147  10% Owner           Industrials                 $500K+   DD<2%      15      67%     +15.6%      42.27
  148  CEO                 all                         $5M+     DD<5%      10      80%     +18.4%      42.25
  149  all                 Industrials                 $100K+   DD<5%     225      60%      +7.8%      42.21
  150  Director            Healthcare                  $250K+   DD<2%      32      81%     +12.2%      42.16
  151  all                 Industrials                 $250K+   DD<5%     147      61%      +8.4%      42.14
  152  all                 Real Estate                 $5M+     DD<5%       8     100%     +20.2%      42.00
  153  all                 Real Estate                 $5M+     DD<2%       8     100%     +20.2%      42.00
  154  Director            Real Estate                 $5M+     DD<5%       8     100%     +20.2%      42.00
  155  Director            Real Estate                 $5M+     DD<2%       8     100%     +20.2%      42.00
  156  CEO                 Financial Services          $1M+     DD<5%       8      63%     +20.1%      41.82
  157  Director            Industrials                 $1M+     DD<2%      10      70%     +18.1%      41.79
  158  all                 Consumer Cyclical           $100K+   any       225      61%      +7.7%      41.77
  159  Director            Financial Services          $100K+   DD<5%     101      64%      +9.0%      41.74
  160  all                 all                         $5M+     DD<2%     112      75%      +8.7%      41.24
  161  10% Owner           Industrials                 $100K+   DD<5%      21      62%     +13.5%      41.03
  162  10% Owner           Industrials                 $250K+   DD<5%      21      62%     +13.5%      41.03
  163  CEO                 Financial Services          $250K+   DD<5%      19      53%     +13.9%      40.94
  164  all                 all                         $100K+   DD<5%    1453      59%      +5.6%      40.79
  165  CEO                 Financial Services          $250K+   any        29      45%     +12.1%      40.59
  166  Director            all                         $1M+     DD<5%     176      72%      +7.8%      40.46
  167  all                 Healthcare                  $500K+   DD<2%      37      78%     +11.2%      40.32
  168  Director            Technology                  $100K+   DD<2%      43      65%     +10.7%      40.19
  169  Other/EVP           Healthcare                  $250K+   DD<5%       9      78%     +18.2%      40.07
  170  CEO                 Technology                  $100K+   DD<2%      16      50%     +14.3%      39.55
  171  Other/EVP           Healthcare                  $250K+   DD<2%       7      86%     +20.2%      39.24
  172  Director            Healthcare                  $250K+   DD<5%      52      75%      +9.8%      38.90
  173  Director            Utilities                   $250K+   any        67      84%      +9.2%      38.88
  174  Director            Healthcare                  $100K+   DD<2%      51      69%      +9.8%      38.71
  175  all                 Consumer Cyclical           $100K+   DD<2%      79      61%      +8.8%      38.59
  176  10% Owner           Industrials                 $1M+     DD<2%      13      62%     +15.0%      38.36
  177  Director            Utilities                   $100K+   DD<5%      92      74%      +8.4%      37.84
  178  CFO                 Consumer Cyclical           $500K+   any         5      80%     +23.5%      37.83
  179  10% Owner           all                         $500K+   any       149      46%      +7.5%      37.48
  180  10% Owner           all                         $500K+   DD<5%      78      59%      +8.6%      37.28
  181  all                 Technology                  $1M+     DD<2%      18      61%     +12.9%      37.27
  182  Other/EVP           Healthcare                  $500K+   any         7      71%     +19.1%      37.26
  183  Other/EVP           Healthcare                  $500K+   DD<5%       7      71%     +19.1%      37.26
  184  Director            Technology                  $250K+   any        93      51%      +8.2%      37.20
  185  all                 Utilities                   $250K+   DD<2%      48      79%      +9.6%      37.20
  186  Insider (other)     Communication Services      $250K+   DD<5%      34     100%     +10.5%      37.17
  187  all                 all                         $25M+    any        71      51%      +8.7%      37.16
  188  all                 Consumer Cyclical           $250K+   any       156      62%      +7.3%      37.00
  189  10% Owner           all                         $100K+   any       171      49%      +7.2%      36.99
  190  Other/EVP           Healthcare                  $100K+   DD<5%      16      63%     +13.3%      36.93
  191  CEO                 Communication Services      $1M+     DD<5%       6      83%     +20.6%      36.83
  192  all                 Healthcare                  $100K+   DD<5%     143      64%      +7.4%      36.79
  193  all                 Utilities                   $100K+   DD<2%      74      70%      +8.5%      36.78
  194  10% Owner           all                         $250K+   any       159      47%      +7.2%      36.53
  195  all                 Real Estate                 $1M+     DD<2%      21      90%     +12.0%      36.50
  196  Insider (other)     Communication Services      $100K+   DD<5%      35     100%     +10.2%      36.44
  197  all                 Financial Services          $500K+   DD<2%      62      66%      +8.8%      36.40
  198  all                 Utilities                   $250K+   DD<5%      89      76%      +8.1%      36.32
  199  all                 Healthcare                  $500K+   DD<5%      62      69%      +8.8%      36.22
  200  Director            Consumer Defensive          $1M+     DD<5%      30     100%     +10.6%      36.16
  201  Insider (other)     Technology                  $100K+   DD<5%      14      79%     +13.6%      36.02
  202  Director            Real Estate                 $1M+     DD<2%      20      90%     +12.0%      35.91
  203  Director            Consumer Defensive          $1M+     any        37      92%      +9.9%      35.88
  204  Other/EVP           Healthcare                  $100K+   DD<2%      14      64%     +13.6%      35.85
  205  Other/EVP           Healthcare                  $500K+   DD<2%       5      80%     +22.2%      35.75
  206  CEO                 Consumer Cyclical           $250K+   DD<5%      17      71%     +12.6%      35.69
  207  10% Owner           all                         $100K+   DD<5%      86      59%      +8.0%      35.58
  208  all                 Financial Services          $500K+   DD<5%      94      61%      +7.8%      35.57
  209  Insider (other)     Communication Services      $500K+   DD<5%      29     100%     +10.5%      35.47
  210  Insider (other)     Communication Services      $1M+     DD<5%      29     100%     +10.5%      35.47
  211  10% Owner           Industrials                 $100K+   DD<2%      18      61%     +12.2%      35.36
  212  10% Owner           Industrials                 $250K+   DD<2%      18      61%     +12.2%      35.36
  213  10% Owner           all                         $1M+     any       140      44%      +7.2%      35.35
  214  Director            all                         $5M+     DD<5%      61      72%      +8.6%      35.33
  215  Director            Industrials                 $500K+   DD<5%      49      59%      +9.0%      35.08
  216  Director            all                         $25M+    DD<2%      16      75%     +12.6%      35.02
  217  CEO                 all                         $500K+   any       160      51%      +6.9%      34.89
  218  10% Owner           all                         $5M+     DD<2%      28      75%     +10.5%      34.86
  219  CEO                 Technology                  $100K+   DD<5%      28      54%     +10.4%      34.70
  220  10% Owner           all                         $250K+   DD<5%      83      58%      +7.8%      34.57
  221  Director            Real Estate                 $250K+   DD<2%      30      83%     +10.1%      34.32
  222  all                 Real Estate                 $250K+   DD<2%      34      82%      +9.7%      34.17
  223  10% Owner           all                         $1M+     DD<5%      72      57%      +8.0%      34.07
  224  Director            Industrials                 $250K+   DD<5%      84      61%      +7.7%      33.92
  225  Other/EVP           Healthcare                  $250K+   any        10      70%     +14.6%      33.62
  226  all                 Utilities                   $100K+   DD<5%     126      67%      +6.9%      33.17
  227  all                 all                         $5M+     DD<5%     163      68%      +6.5%      33.16
  228  CFO                 Communication Services      $250K+   any         5      80%     +20.6%      33.10
  229  Director            Healthcare                  $100K+   DD<5%      88      66%      +7.4%      33.07
  230  CEO                 all                         $1M+     any       101      51%      +7.1%      32.88
  231  all                 Real Estate                 $1M+     DD<5%      25      84%     +10.2%      32.76
