==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
  706  CEO                 Basic Materials             $100K+   DD<5%      19      42%      -3.5%     -10.16
  707  CEO                 Basic Materials             $250K+   DD<5%      19      42%      -3.5%     -10.16
  708  Other/EVP           Energy                      $250K+   DD<2%      30      57%      -3.0%     -10.36
  709  CFO                 Consumer Defensive          $250K+   any        10      50%      -4.6%     -10.65
  710  CEO                 Energy                      $100K+   DD<5%      16      38%      -3.9%     -10.75
  711  President           all                         $1M+     any         6      50%      -6.0%     -10.79
  712  President           all                         $500K+   any        19      42%      -3.7%     -10.85
  713  CEO                 Energy                      $250K+   DD<5%      11      36%      -4.8%     -11.48
  714  all                 Energy                      $500K+   DD<5%      69      43%      -2.7%     -11.57
  715  all                 Basic Materials             $500K+   any        52      35%      -3.0%     -11.78
  716  10% Owner           Healthcare                  $1M+     DD<5%       8      25%      -5.8%     -12.11
  717  Other/EVP           all                         $1M+     DD<5%      54      46%      -3.0%     -12.12
  718  10% Owner           Healthcare                  $100K+   DD<5%      10      30%      -5.3%     -12.15
  719  10% Owner           Healthcare                  $250K+   DD<5%      10      30%      -5.3%     -12.15
  720  10% Owner           Healthcare                  $500K+   DD<5%      10      30%      -5.3%     -12.15
  721  all                 Basic Materials             $100K+   any        92      39%      -2.7%     -12.38
  722  Director            Basic Materials             $500K+   any        12      42%      -5.0%     -12.40
  723  CFO                 Consumer Defensive          $250K+   DD<2%       7      43%      -6.4%     -12.46
  724  all                 Basic Materials             $500K+   DD<2%      18      33%      -4.3%     -12.49
  725  Director            Energy                      $100K+   DD<5%      63      46%      -3.1%     -12.68
  726  Other/EVP           all                         $5M+     DD<2%      16      50%      -4.6%     -12.88
  727  CEO                 Basic Materials             $1M+     DD<5%      13      31%      -5.1%     -12.96
  728  Director            Basic Materials             $250K+   DD<2%       8      38%      -6.3%     -13.00
  729  Other/EVP           Basic Materials             $100K+   DD<5%       7      57%      -6.9%     -13.44
  730  all                 Energy                      $1M+     DD<5%      52      44%      -3.4%     -13.53
  731  10% Owner           Basic Materials             $5M+     any         5       0%      -8.5%     -13.66
  732  CEO                 Basic Materials             $500K+   DD<2%      12      33%      -5.6%     -13.82
  733  all                 Energy                      $5M+     DD<5%      20      40%      -4.6%     -13.90
  734  all                 Basic Materials             $250K+   DD<5%      39      44%      -3.8%     -13.98
  735  Insider (other)     Industrials                 $1M+     any         6      33%      -7.9%     -14.16
  736  CFO                 Financial Services          $100K+   any        12      33%      -5.7%     -14.17
  737  CFO                 Consumer Defensive          $250K+   DD<5%       9      44%      -6.5%     -14.22
  738  all                 Basic Materials             $100K+   DD<5%      51      43%      -3.6%     -14.22
  739  all                 Communication Services      $25M+    any         8      63%      -6.9%     -14.28
  740  all                 Basic Materials             $500K+   DD<5%      25      40%      -4.5%     -14.46
  741  Insider (other)     Technology                  $500K+   any         6      67%      -8.1%     -14.55
  742  Director            Basic Materials             $250K+   DD<5%      13      38%      -5.7%     -14.72
  743  all                 Basic Materials             $250K+   any        73      38%      -3.5%     -14.95
  744  Other/EVP           Financial Services          $100K+   any        11      36%      -6.4%     -15.27
  745  CEO                 Basic Materials             $500K+   DD<5%      16      38%      -5.5%     -15.35
  746  Other/EVP           Energy                      $500K+   DD<5%      41      46%      -4.1%     -15.40
  747  Insider (other)     Industrials                 $100K+   DD<5%      13      38%      -6.1%     -15.62
  748  CFO                 Financial Services          $100K+   DD<5%       7      29%      -8.0%     -15.65
  749  Other/EVP           Energy                      $1M+     DD<5%      38      47%      -4.4%     -15.86
  750  all                 Basic Materials             $1M+     any        31      29%      -4.6%     -15.94
  751  Insider (other)     Healthcare                  $100K+   any        19      53%      -5.5%     -16.26
  752  Other/EVP           Consumer Defensive          $1M+     DD<5%       5       0%     -10.1%     -16.28
  753  Director            Energy                      $500K+   any        39      38%      -4.5%     -16.33
  754  Other/EVP           Energy                      $5M+     DD<5%      17      41%      -5.8%     -16.37
  755  Insider (other)     Industrials                 $500K+   any        10      40%      -7.4%     -16.93
  756  10% Owner           Basic Materials             $100K+   any         9       0%      -7.8%     -17.06
  757  10% Owner           Basic Materials             $250K+   any         9       0%      -7.8%     -17.06
  758  10% Owner           Basic Materials             $500K+   any         9       0%      -7.8%     -17.06
  759  10% Owner           Basic Materials             $1M+     any         9       0%      -7.8%     -17.06
  760  CEO                 Real Estate                 $250K+   any         7      14%      -9.0%     -17.53
  761  Other/EVP           all                         $100K+   any       236      43%      -3.3%     -18.20
  762  Other/EVP           all                         $500K+   any       102      42%      -4.0%     -18.36
  763  Insider (other)     Consumer Cyclical           $100K+   any        11      36%      -7.7%     -18.36
  764  Director            Consumer Cyclical           $5M+     any         5      20%     -11.5%     -18.55
  765  President           Communication Services      $100K+   any         6      33%     -10.7%     -19.17
  766  President           Communication Services      $250K+   any         6      33%     -10.7%     -19.17
  767  Other/EVP           all                         $5M+     DD<5%      20      40%      -6.6%     -19.75
  768  CFO                 Technology                  $250K+   any         5      40%     -12.3%     -19.79
  769  Insider (other)     Industrials                 $250K+   any        12      42%      -8.0%     -19.79
  770  Director            Energy                      $250K+   DD<5%      35      40%      -5.6%     -20.04
  771  Director            Basic Materials             $250K+   any        21      33%      -6.6%     -20.13
  772  CFO                 Consumer Defensive          $100K+   DD<2%       8      38%      -9.8%     -20.43
  773  CEO                 Energy                      $250K+   any        18      33%      -7.2%     -20.69
  774  CEO                 Real Estate                 $100K+   any         8      13%     -10.0%     -20.82
  775  Other/EVP           Energy                      $250K+   DD<5%      45      44%      -5.6%     -21.35
  776  CFO                 Energy                      $100K+   any        13      54%      -8.6%     -21.99
  777  all                 Basic Materials             $5M+     any         7       0%     -11.4%     -22.12
  778  CFO                 Technology                  $100K+   any        12      42%      -8.9%     -22.19
  779  CFO                 Consumer Defensive          $100K+   DD<5%      11      36%      -9.3%     -22.21
  780  CEO                 Real Estate                 $500K+   any         6       0%     -13.0%     -23.27
  781  President           Energy                      $100K+   DD<5%       7      29%     -12.0%     -23.44
  782  Insider (other)     Basic Materials             $100K+   any         5      40%     -14.8%     -23.75
  783  10% Owner           Healthcare                  $100K+   any        14      21%      -9.0%     -23.88
  784  10% Owner           Healthcare                  $250K+   any        14      21%      -9.0%     -23.88
  785  10% Owner           Financial Services          $25M+    any         8      13%     -11.7%     -24.24
  786  10% Owner           Healthcare                  $500K+   any        13      23%      -9.5%     -24.37
  787  Insider (other)     Industrials                 $100K+   any        16      31%      -9.0%     -24.94
  788  Other/EVP           all                         $250K+   any       147      44%      -5.1%     -25.20
  789  10% Owner           Healthcare                  $1M+     any        11      18%     -10.7%     -25.59
  790  Other/EVP           Energy                      $100K+   DD<5%      52      44%      -6.5%     -25.73
  791  all                 Energy                      $250K+   DD<5%      95      41%      -5.7%     -25.94
  792  Other/EVP           Basic Materials             $250K+   any         8      50%     -12.6%     -26.22
  793  Director            Energy                      $1M+     any        22      27%      -8.7%     -26.80
  794  all                 Energy                      $100K+   DD<5%     148      43%      -5.5%     -27.37
  795  Director            Energy                      $250K+   any        69      41%      -6.7%     -28.31
  796  Other/EVP           Basic Materials             $100K+   any        13      38%     -11.1%     -28.36
  797  Other/EVP           Energy                      $100K+   any        72      43%      -6.8%     -29.18
  798  CFO                 Consumer Defensive          $100K+   any        13      38%     -11.4%     -29.20
  799  Director            Consumer Cyclical           $1M+     any        26      50%      -9.3%     -30.16
  800  all                 Energy                      $500K+   any       104      38%      -6.6%     -30.42
  801  President           Energy                      $100K+   DD<2%       6      17%     -17.4%     -31.26
  802  Other/EVP           all                         $1M+     any        70      41%      -7.6%     -32.21
  803  President           Energy                      $250K+   any         8      25%     -15.7%     -32.64
  804  Other/EVP           Energy                      $500K+   any        50      40%      -8.4%     -32.77
  805  CFO                 Energy                      $100K+   DD<5%       8      38%     -15.9%     -33.06
  806  Director            Energy                      $100K+   any       120      39%      -7.0%     -33.38
  807  Other/EVP           Energy                      $1M+     any        46      41%      -8.8%     -33.55
  808  Other/EVP           Energy                      $5M+     any        23      35%     -11.2%     -35.18
  809  Director            Energy                      $5M+     any         8      13%     -17.2%     -35.79
  810  Other/EVP           all                         $5M+     any        28      32%     -11.1%     -37.09
  811  Other/EVP           Energy                      $250K+   any        58      40%      -9.2%     -37.16
  812  CEO                 Energy                      $100K+   any        27      30%     -11.7%     -38.47
  813  all                 Energy                      $250K+   any       157      39%      -7.9%     -39.75
  814  all                 Energy                      $1M+     any        74      35%      -9.5%     -40.99
  815  all                 Energy                      $5M+     any        31      29%     -12.8%     -43.84
  816  all                 Energy                      $100K+   any       251      39%      -8.2%     -45.35
  817  President           Energy                      $100K+   any        16      25%     -19.2%     -53.34
  818  Other/EVP           Consumer Cyclical           $500K+   any         7      14%     -43.4%     -84.52
  819  Other/EVP           Consumer Cyclical           $100K+   any        11      18%     -43.5%    -104.21
  820  Other/EVP           Consumer Cyclical           $250K+   any        10      10%     -52.5%    -120.84

==============================================================================================================
