===================================================================================================================
  OPPORTUNISTIC INSIDER BACKTEST — Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d × ln(n)  |  min n = 5  |  195 combinations ranked
  Source: output/deep_analysis_v2.csv  |  Clean rows: 330  |  Run: 2026-05-04
===================================================================================================================

  Baseline (all trades, no filter): n=313  avg=+4.1%  med=+6.2%  hit=73%  score=23.29

   Rank  Role                  Sector                      Size     DD        n   Hit180    Avg180α    Med180α     Score
     90  all                   Communication Services      $1M+     any      17      94%      +7.6%      +6.4%     21.51
     91  CEO                   Communication Services      $1M+     any      17      94%      +7.6%      +6.4%     21.51
     92  CEO                   all sectors                 $100K+   <2%      22      73%      +6.7%      +8.3%     20.85
     93  all                   Communication Services      $250K+   any      25      96%      +6.4%      +5.2%     20.57
     94  all                   Technology                  $500K+   <5%      14      79%      +7.8%      +7.8%     20.50
     95  all                   Communication Services      $500K+   any      22      95%      +6.6%      +5.8%     20.42
     96  Director              all sectors                 $1M+     any      17      76%      +7.2%      +6.8%     20.42
     97  CEO                   all sectors                 $5M+     <5%       5     100%     +12.7%     +14.3%     20.37
     98  Director              Technology                  $500K+   <5%       5     100%     +12.6%      +6.5%     20.24
     99  CEO                   Communication Services      $250K+   any      24      96%      +6.3%      +5.1%     20.05
    100  all                   Communication Services      $100K+   any      26      96%      +6.1%      +5.1%     20.01
    101  CEO                   all sectors                 $500K+   <2%      11      91%      +8.3%     +14.3%     19.94
    102  CEO                   Communication Services      $500K+   any      21      95%      +6.5%      +5.2%     19.87
    103  Director              all sectors                 $100K+   <2%      45      78%      +5.1%      +5.3%     19.57
    104  all                   Consumer Cyclical           $500K+   <5%       5      80%     +12.1%     +20.1%     19.51
    105  CEO                   Communication Services      $100K+   any      25      96%      +6.1%      +5.0%     19.49
    106  all                   Industrials                 $100K+   <5%      29      76%      +5.7%      +0.5%     19.18
    107  all                   Healthcare                  $100K+   any      33      70%      +5.2%      +6.6%     18.12
    108  Director              Industrials                 $100K+   <2%      14      71%      +6.9%      +1.2%     18.10
    109  Director              Financial Services          $100K+   any      17      88%      +6.3%      +8.1%     17.99
    110  Director              Financial Services          $500K+   any      14      86%      +6.8%     +11.4%     17.97
    111  Director              all sectors                 $500K+   <5%      20      85%      +6.0%      +6.6%     17.95
    112  Director              Technology                  $100K+   any      24      75%      +5.6%      +4.6%     17.69
    113  CEO                   all sectors                 $250K+   any      54      80%      +4.4%      +4.3%     17.60
    114  all                   Consumer Cyclical           $500K+   any       6      83%      +9.7%     +14.1%     17.30
    115  Director              Technology                  $250K+   <5%      10      90%      +7.2%      +5.5%     16.49
    116  all                   Industrials                 $100K+   any      47      68%      +4.2%      +0.5%     16.17
    117  Director              Healthcare                  $100K+   <2%       9      78%      +7.3%      +6.6%     16.12
    118  CEO                   all sectors                 $500K+   any      40      85%      +4.3%      +4.1%     15.87
    119  CEO                   all sectors                 $1M+     any      33      85%      +4.5%      +5.2%     15.75
    120  all                   Technology                  $500K+   any      25      76%      +4.9%      +9.2%     15.71
    121  Director              Technology                  $100K+   <5%      13      85%      +6.1%      +4.4%     15.63
    122  all                   Industrials                 $100K+   <2%      18      78%      +5.4%      +1.2%     15.61
    123  CEO                   all sectors                 $100K+   any      68      72%      +3.7%      +3.4%     15.60
    124  CEO                   all sectors                 $1M+     <2%      10      90%      +6.7%     +11.8%     15.51
    125  Director              all sectors                 $100K+   <5%      85      74%      +3.4%      +1.8%     14.89
    126  Director              all sectors                 $250K+   <5%      35      83%      +4.2%      +4.4%     14.87
    127  Director              Financial Services          $1M+     any       9      78%      +6.6%      +8.1%     14.58
    128  Director              Financial Services          $250K+   any      16      88%      +5.2%      +7.4%     14.51
    129  Director              all sectors                 $100K+   any     143      71%      +2.9%      +1.6%     14.50
    130  CEO                   Technology                  $250K+   <5%       6      67%      +8.1%      +7.1%     14.49
    131  CEO                   all sectors                 $5M+     any      11      91%      +6.0%      +9.2%     14.33
    132  all                   Technology                  $100K+   <5%      30      67%      +4.2%      +4.7%     14.28
    133  all                   Healthcare                  $500K+   <5%      11      91%      +5.7%     +12.5%     13.57
    134  Director              Healthcare                  $100K+   <5%      17      71%      +4.8%      +6.6%     13.52
    135  all                   Communication Services      $5M+     any       7     100%      +6.9%      +5.2%     13.51
    136  CEO                   Communication Services      $5M+     any       7     100%      +6.9%      +5.2%     13.51
    137  Director              Healthcare                  $500K+   any       9      89%      +6.0%     +12.5%     13.23
    138  all                   Healthcare                  $500K+   any      14      86%      +5.0%     +12.5%     13.19
    139  all                   Healthcare                  $250K+   <5%      16      75%      +4.6%      +1.7%     12.77
    140  Director              Healthcare                  $100K+   any      24      67%      +3.9%      +2.7%     12.30
    141  all                   Consumer Cyclical           $250K+   <5%       8      63%      +5.8%     +14.1%     11.96
    142  all                   Technology                  $250K+   <5%      23      74%      +3.6%      +6.2%     11.40
    143  all                   Real Estate                 $100K+   <5%       5      80%      +6.8%      +7.4%     11.02
    144  Director              all sectors                 $1M+     <5%      12      75%      +4.1%      +6.5%     10.23
    145  all                   Industrials                 $250K+   any       9      78%      +4.6%      +0.5%     10.04
    146  Director              Technology                  $100K+   <2%       8      88%      +4.8%      +6.7%      9.94
    147  Director              Financial Services          $100K+   <5%       8      88%      +4.6%      +6.6%      9.63
    148  Director              Healthcare                  $500K+   <5%       8      88%      +4.6%      +7.2%      9.54
    149  Director              all sectors                 $250K+   <2%      20      75%      +3.2%      +4.1%      9.47
    150  Director              Technology                  $250K+   <2%       6      83%      +4.9%      +6.7%      8.80
    151  all                   Healthcare                  $1M+     <5%       6      83%      +4.6%      +7.2%      8.32
    152  Director              Financial Services          $500K+   <5%       5      80%      +4.9%      +6.8%      7.87
    153  Director              Financial Services          $1M+     <5%       5      80%      +4.9%      +6.8%      7.87
    154  all                   Healthcare                  $250K+   any      22      68%      +2.5%      +1.7%      7.74
    155  Director              all sectors                 $500K+   <2%      11      73%      +3.0%      +6.5%      7.16
    156  all                   Healthcare                  $250K+   <2%       7      71%      +3.4%      +0.4%      6.70
    157  CEO                   Technology                  $100K+   <2%       7      57%      +3.2%      +5.0%      6.16
    158  all                   Real Estate                 $100K+   any       6      83%      +2.9%      +2.0%      5.14
    159  CEO                   Healthcare                  $500K+   any       5      80%      +3.2%     +12.5%      5.08
    160  CEO                   Healthcare                  $1M+     any       5      80%      +3.2%     +12.5%      5.08
    161  all                   Healthcare                  $1M+     any       8      75%      +2.3%      +7.2%      4.71
    162  CEO                   Technology                  $250K+   any      12      58%      +1.4%      +0.7%      3.59
    163  Director              Financial Services          $250K+   <5%       7      86%      +1.8%      +6.5%      3.58
    164  CEO                   Technology                  $100K+   <5%       9      44%      +1.0%      +3.7%      2.22
    165  all                   Technology                  $1M+     <5%       9      78%      +0.9%      +6.5%      1.93
    166  CEO                   Industrials                 $100K+   any       7      71%      +1.0%      +0.5%      1.93
    167  Director              Healthcare                  $250K+   <5%      11      73%      +0.3%      +1.6%      0.83
    168  CEO                   Technology                  $500K+   any       6      67%      +0.3%      +3.4%      0.62
    169  Director              Consumer Cyclical           $100K+   any      10      70%      +0.2%      +1.2%      0.38
    170  all                   Utilities                   $100K+   <2%       5     100%      -0.1%      +1.0%     -0.08
    171  Director              Utilities                   $100K+   <2%       5     100%      -0.1%      +1.0%     -0.08
    172  all                   Consumer Cyclical           $250K+   any      13      62%      -0.3%      +8.1%     -0.74
    173  Director              Consumer Cyclical           $100K+   <2%       5      60%      -0.8%      +5.2%     -1.25
    174  Director              Consumer Cyclical           $100K+   <5%       5      60%      -0.8%      +5.2%     -1.25
    175  Director              Utilities                   $250K+   any       7      86%      -1.3%      -1.2%     -2.54
    176  President             all sectors                 $100K+   any       5      80%      -1.6%      -8.0%     -2.66
    177  Director              Healthcare                  $250K+   any      14      64%      -1.1%      +1.0%     -2.98
    178  all                   Consumer Cyclical           $100K+   <5%      12      50%      -1.3%      -1.0%     -3.24
    179  all                   Technology                  $100K+   any      59      58%      -1.0%      +1.8%     -3.94
    180  all                   Consumer Cyclical           $100K+   any      23      61%      -1.7%      +5.2%     -5.21
    181  all                   Consumer Cyclical           $250K+   <2%       5      40%      -3.8%     -19.3%     -6.06
    182  all                   Technology                  $250K+   any      42      67%      -1.7%      +4.1%     -6.20
    183  all                   Consumer Defensive          $100K+   any       6      67%      -3.7%     -10.6%     -6.62
    184  all                   Consumer Defensive          $100K+   <5%       6      67%      -3.7%     -10.6%     -6.62
    185  CEO                   Technology                  $100K+   any      20      40%      -2.4%      -4.8%     -7.22
    186  Director              Healthcare                  $250K+   <2%       5      60%      -4.6%      +0.4%     -7.42
    187  Director              all sectors                 $1M+     <2%       6      50%      -4.3%      -2.7%     -7.70
    188  CEO                   Industrials                 $250K+   any       5      60%      -4.8%      -2.7%     -7.73
    189  all                   Technology                  $1M+     any      16      69%      -3.3%      +6.3%     -9.27
    190  all                   Utilities                   $100K+   <5%      12      83%      -4.1%      -9.4%    -10.24
    191  Director              Utilities                   $100K+   <5%      12      83%      -4.1%      -9.4%    -10.24
    192  all                   Utilities                   $250K+   any       9      67%      -5.5%      -8.8%    -12.12
    193  Director              Utilities                   $100K+   any      23      74%      -4.6%     -10.0%    -14.37
    194  all                   Utilities                   $100K+   any      25      68%      -5.8%     -10.7%    -18.79
    195  all                   Consumer Cyclical           $100K+   <2%       9      33%      -8.9%     -19.3%    -19.65

===================================================================================================================
